text,label
"Selamat menikmati kemacetan ğŸ¤—",0
"Pasti aku besok malam tahun baru hujan nih ğŸ˜‚",0
"Tidak usah merayakan tahun baru tapi rayakanlah perayaan idul fitri",0
"2026 persib juara deuiğŸ’™ amin",1
"ğŸ‘ğŸ»",1
"Macet total arah puncak, pemerintah gak ada solusi!",0
"Happy New Year 2026! Semoga tahun ini lebih berkah",1
"Berisik banget woy petasan, bayi gue kaget terus!",0
"Alhamdulillah bisa kumpul keluarga di malam pergantian tahun",1
"Sampah berserakan di mana-mana, warga +62 jorok banget",0
"Resolusi 2026: Lulus kuliah tepat waktu dan dapet kerjaan bonafit",1
"Mending tidur daripada keluyuran gak jelas buang duit",0
"Kembang apinya keren banget sumpah! ğŸ˜",1
"Hujan deres banget, batal deh bakar-bakar jagung",0
"Semoga di tahun 2026 indonesia makin maju",1
"Polusi udara makin parah gara-gara kembang api",0
"Tahun baru semangat baru! Gaspol skripsi",1
"Macetnya gila, nyesel keluar rumah",0
"Terima kasih 2025 atas pelajarannya, welcome 2026",1
"Budaya kafir kok diikutin, istighfar woy",0
"Asik banget konsernya di bundaran HI pecah!",1
"Jalanan ditutup semua, mau pulang kerja susah",0
"Bismillah tahun ini nikah, aamiin",1
"Tahun baru sama aja, tetep aja beban hidup berat",0
"Seneng banget liat kembang api bareng pacar",1
"Berisik knalpot brong ganggu ketenangan warga",0
"Semoga tahun depan gaji naik hehehe",1
"Pemborosan anggaran negara buat pesta kembang api doang",0
"Selamat tahun baru teman-teman onlineku!",1
"Banjir di mana-mana, tahun baru kelabu",0
"Optimis 2026 bakal jadi tahun kejayaan kita",1
"Gak guna ngerayain ginian, mending dzikir di masjid",0
"Suasananya meriah banget, jadi terharu",1
"Sampah plastik numpuk bikin bau",0
"Page 1 of 365, bismillah lancar",1
"Macet neraka, tua di jalan",0
"Semoga sehat selalu buat orang tua di kampung",1
"Hujan terus bikin mood hancur",0
"Keren banget drone show nya!",1
"Bikin polusi suara aja malem-malem",0
"Tahun baru harapan baru, semangat pejuang rupiah",1
"Harga makanan ditembak mahal banget pas tahun baru, kapok",0
"Alhamdulillah cuaca cerah mendukung acara",1
"Banyak copet hati-hati guys",0
"Semoga dapet jodoh tahun ini wkwk",1
"Konvoi motor bikin rusuh dan bahaya",0
"Happy holiday semuanya, enjoy!",1
"Mending uangnya disumbangin ke panti asuhan daripada dibakar",0
"New year new me, harus lebih produktif",1
"Malah tawuran, ngerusak suasana aja",0
"Selamat datang 2026, please be nice",1
"Parkir liar nembak harga gila-gilaan",0
"Seneng bisa video call sama ortu pas jam 12",1
"Ribet banget ada pengalihan arus lalin",0
"Doaku semoga hutang lunas semua tahun ini",1
"Polisi tidur kebanyakan, bikin macet makin parah",0
"Indah banget langit jakarta malem ini",1
"Bau pesing di mana-mana, toilet umum kurang",0
"Semangat baru untuk masa depan yang cerah",1
"Euforia sesaat, besok juga balik susah lagi",0
"Kembang apinya cantik, instagramable banget",1
"Tahun baru rasa pasar malam, desak-desakan",0
"Siap menyambut tantangan baru di 2026",1
"Berisik suara trompet bikin pusing",0
"Semoga rezeki lancar tahun ini",1
"Macett woyy gak gerak 2 jam",0
"Bahagia itu sederhana, liat kembang api gratisan",1
"Norak banget konvoi geber-geber motor",0
"Tahun ini harus wisuda! Semangat!",1
"Hujan bikin becek, sepatu kotor semua",0
"Welcome 2026, bye bye toxic people",1
"Buang-buang duit aja acara ginian",0
"Semoga bisa beli rumah tahun ini",1
"Sampah visual di mana-mana",0
"Malam yang indah penuh kenangan",1
"Gak bisa tidur gara-gara petasan tetangga",0
"Sukses terus buat kita semua",1
"Mending tidur, besok kerja lembur",0
"Tahun baru, rezeki baru, semangat!",1
"Macet bikin emosi jiwa",0
"Semoga keluarga kita dilindungi Allah",1
"Budaya hura-hura gak mendidik",0
"Seru banget bakar ayam bareng temen kos",1
"Asap petasan bikin sesak napas",0
"Tahun 2026 harus glow up!",1
"Jalanan kotor banget abis acara",0
"Semoga damai selalu negeriku",1
"Pusing liat orang mabok di jalan",0
"Happy new year! Wish you all the best",1
"Bising banget gak punya etika",0
"Alhamdulillah masih dikasih umur ketemu 2026",1
"Macet parah, bensin abis di jalan",0
"Mari kita buka lembaran baru",1
"Kecewa berat, acaranya gak sesuai ekspektasi",0
"Semoga makin sukses karirnya",1
"Hujan membawa bencana banjir",0
"Terima kasih Tuhan untuk tahun yang baru",1
"Gak ada faedahnya ngerayain ginian",0
"Semangat mengejar mimpi di 2026",1
"Kesel banget sama pengendara yang lawan arah",0